index,username, location, date, rating, content
0,Abdul Rafay K.,Chapel Hill| NC,12/15/2019,5.0,I spent about two hours here in order to focus on my work. I ordered the latte which was soothing and refreshed me for work. They have tables close to power outlets. The staff is very courteous. The music also helps concentrate. I highly recommend this place for focus work.
1,Jennifer L.,Seattle| WA,1/27/2019,4.0,I love the vibe here! It gets pretty busy especially when there are students returning back to school and studying.. but none the less it's a chill spot not so great in the customer service department but that's okay most people come not to be talked to anyway! The latte is tasty and is worth the buck I used to work at Starbucks and can say the coffee here is WELL MADE. Do not come here with a large group... do not be those people taking up half the space in this place. It's always packed and packing yourselves by the door is uncomfortable for everyone else.PRO: good coffee chill atmosphere hipster feelCON: parking on the street packed area
2,Stacy A.,Federal Way| WA,11/5/2019,3.0,Probably I came here on the wrong day because I went here to do my homework and the wifi wasn't working at all which was super frustrating because I really like Bluebeard Coffee! Sadly I left. I've been here before and their coffee is amazing and the people are too! Many seating for people to do homework chit chat with friends or just grabbing a quick bite!
3,Yoni C.,Issaquah| WA,11/3/2019,5.0,It was after visiting Tacoma Art Museum and nice to stop by here. I really liked my latte and the vibe here. Warm and welcoming. Latte was so rich and strong enough to please me and the art was fluttering. Loved the upper windows and interiors aesthetically pleasing
4,Keri F.,Seattle| WA,8/18/2019,5.0,Wonderful cafe and roasterie in Tacoma. Came here to study and the cafe is very spacious and relaxed. Great prices and friendly baristas/staff. Would recommend/come here again when I'm in the area. We got lattes. Tasted great and impressive latte art.
5,Damon B.,Washington| DC,11/24/2018,5.0,"This is a great third wave coffeeshop and is probably one of the top ones in the Tacoma area. It would be a top shop in any city.They have a pretty impressive roasting operation on site so they are bagging coffees right behind the counter. The wide variety of coffee available was pretty impressive and so was the carefully crafted quality. These baristas know what is up and it shows in the coffee they produce.I was a bit intimidated by the customer service at first I guess they were deadpanning me and not smiling. But after engaging the baristas a bit they were super warm and affable. And by ""a bit"" I mean after the first sentence I felt like we were old friends. Also I was a totally annoying customer carting around two unruly toddlers who wanted to tear the place apart so I appreciated a warm smile and helpful suggestion on the best coffees to purchase.The shop itself is pretty large but is also often crowded owing to free internet and it being a comfortable place to hang out. I dropped in twice during a visit and spent way too much money on lattes and pour overs and was blown away by everything that came out. They also have pastries that are pretty good but no hot foods at the time of my visit.I was also really impressed with their branding. It was just superb and they had a number of great branded items like hats and tshirts you could purchase. I was tempted but a few more visits and I don't know I'd probably cave."
6,McKenna W.,Tacoma| WA,11/11/2019,4.0,Great service and atmosphere. The selection of roasted beans is great. Had a latte and wasn't impressed. Willing to try something else next time.
7,Jack H.,Delray Beach| FL,11/1/2019,5.0,Awesome coffee and the Baristas are really nice. I was staying in Tacoma for 5 days and went to  Bluebeard almost every day I was there. The staff was really friendly and helpful especially recommending things to do around the area. The coffee was awesome as well!
8,Korki L.,Ballard| Seattle| WA,4/5/2019,3.0,"Mixed thoughts. Originally came here based on a recommendation as it was featured in la marzocco showroom in Queen Anne.. or so I was told. True or not true... I checked it out anyways with an image in my head that it would be as modern as Olympia coffee cafes. I had not yelp or instagram or done any research on Bluebeard aside the fact it was solely recommended to me as I was on my way to explore Tacoma. Coming in I saw a decent space bad use of space and round table choices... hard to share really when second chair is used for bag sitting.. Anyhow behind the roaster were employees and one with a ""bends down to table level and texted away"". I expected professionalism or cool action or coffee enthusiasts.. but I guess it was all in my head.  expectations and the reality did not meet. It was overall decent serving considering it is located in Tacoma where the competition is truly nonexistent. They definitely were going a different vibe which I can respect and I had not gotten to try all selections. I probably wouldn't go back mainly to the grudge vibe and just overall execution of the place. As stated I expected Olympia aesthetics and more polished coffee. Bluebeard can't please everyone."
9,Giovanni V.,Saint Petersburg| FL,10/31/2019,4.0,Being new to Tacoma I have been looking for a good coffee shop. I ordered the Tanzania pour over. It was very flavorful. Service was quick and the server was very warm and inviting. The atmosphere is very spacious. Plenty of seating and quite. The only issue is finding parking. I'll definitely  return. Solid coffee shop. Can't wait to try all your different roasts.
10,G S.,Clarkston| WA,9/29/2019,3.0,Just not a fan of the flavor or the coffee. Left a funky aftertaste.  Service was good and they seemed to have a decent selection of pastries.
11,Rowan L.,Puyallup| WA,3/17/2019,5.0,Oh my gosh This was a great experience! When I tried to order the Nitro cold brew the lady taking my order said that they were out. Oh no! But that's ok because I didn't really want it that much haha! She then brightly suggested that I get an Iced americano with a bit of vanilla. I then saw their bakery and ordered a GLUTEN FREE Peanut butter bar. Wow was I in for a total surprise! The bar was clearly made to perfection and it made me feel like I was eating one of grandmas desserts. The iced americano with a hint of vanilla was perfect and the vibe of the Bluebeard Cafe was truly amazing! What a great experience to have! I would 10/10 recommend this to anyone!
12,Jason M.,Palm Bay| FL,10/8/2019,5.0,This is one of my top 2 favorite places to go in Tacoma for fresh lighter-roasted (higher flavor and caffeine) coffee. I almost always have a bag at home for my Chemex and I've never been disappointed. I drink it black. When I visit the shop I'll usually have a latte.
13,Ricky R.,Tacoma| WA,2/1/2019,4.0,Always up for trying new local coffee. I grabbed a black drip and it was pretty good. Its not quite as good as my favorite but a decent cup of coffee. The staff was cool and it would be a chill place to go and read or talk with a friend while grabbing a cup. I would recommend this place. The shop is pretty large. I dont know if they roast on site but I would like to try a cup again and an americano in the future.
14,Kaylynn C.,Port Orchard| WA,11/25/2019,4.0,Great coffeeas a barista across the water I can say that this is the most authentic menu I've seen around! They actually roast their beans in house which is pretty special. The seating was much larger than I anticipated. No formal parking lot can be tricky to find parking along the street. I probably would've given it 5 stars though because it really seem like they take their craft of caffe as an art only serving quality shots. My issue is that I came here with it being advertised as a great spot to do work with lots of seating and internet available. I walked in and ordered a drink and a brioche (quite a few bakery options looked good and mine was okay kinda weird that they ask if you'd like it heated and then guide you to the communal microwave but whatever) my drink was ready soon and I grabbed a spot to crank out a paper for school. I connected to the WiFi and was able to use google and my email but couldn't do much else such as open a word document online do research or use my schools website. I asked the gentleman sitting next to me if he encountered this problem and he said he had and he's using his phones hotspot instead and that he came sometime last month and had the same issue. As I was looking on the WiFi connections I realized that most of it was hotspot connections. I thought it was idiotic to go to an Internet cafe to use your own hotspot so ended up going to another cafe to crank out my homework :(
15,Stranto F.,Camden| Camden| ME,11/29/2019,4.0,They've got great coffee and it's a good place to meet people. Their La Pistola is especially delicious. Also just to note that I've noticed an improvement with their staff and food offerings over this year.
16,Erin P.,Olympia| WA,8/17/2019,5.0,Great place with great character from the building to the great staff while the coffee is delicious and the peanut butter bars are so yum!
17,Nikki G.,Haysville| KS,11/15/2019,4.0,I was looking for a place to do homework and came here and i loved it! Everyone there was so nice and they play really good music (not that important but should be noted). There's a bunch of comfortable seating or bar like seating near the window. The only downfall is the parking. I just parked in the neighborhood behind and walked not too bad a very worth it.
18,Lydia A.,Mount Hope| KS,1/4/2019,5.0,Bluebeard coffee is the place to be in Tacoma. The atmosphere is very hip modern and industrial feeling. The beans are roasted there and the coffee tastes AMAZING. I've also bought their beans to make at home and it was so smooth and rich. It's the perfect place to meet friends and be productive. Also the baristas are super friendly and will help you pick something if you can't decided. Would recommend!
